top_k,dataset_key,dataset_label,dataset_short,design,trace_source_design,config_ref,source_stats_ref,source_energy_ref,source_stats_sha256,source_energy_sha256,data_status,s_num_query,s_mem_cycle,recall,s_fmac_ops_sum,phase1_ops_sum,phase2_fmac_ops_sum,raw_memory_energy_nj,memory_energy_scale,memory_energy_nj,memory_energy_terms
k10,glove2m,GloVe2M,GV,ndp_et,ndp_et,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_et.yaml,memory/20260716/001_figure14_k5_k10_ndp_three_designs_recall_gt090/logs/k10/k10_glove2m_normalized_ndp_et_stats.yml,memory/20260716/001_figure14_k5_k10_ndp_three_designs_recall_gt090/runs/submission_20260716_234334/formal/k10_glove2m_normalized_ndp_et/slurm-9991387.out,1e68074ba9af398dd3010e326aa7270899becc18936b597bf748c88f9f248cbe,d24242d00928ea419396738941f1885fd5a28653495226aaba15a54d04a946ce,measured_reused,1000,109346345,0.9002,6243867518,93860581200,6074736846,419864707.63125,1.0,419864707.63125,32
k10,glove2m,GloVe2M,GV,mfnns,mfnns,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_glove2m_mfnns_ef0520_q0900_npq1000_stats.yml,memory/20260722/001_figure14_final_recall_gt0895_completion/runs/submission_20260722_122703/formal/formal_k10_glove2m_mfnns_ef0520_q0900_npq1000/slurm-10031797.out,d437615158400b115490c958703bf1138e15b31a64578cbe706d4e21d9966889,6fc252b7a6229ded2d71da034fb0fb0709c0749b1df4768804cb8aad8ee680a7,measured_completion,1000,104255291,0.9002,6330166634,93860581200,6161035962,406632803.9475,1.0,406632803.9475,32
k10,sift1m,SIFT1M,SF,cpu,cpu,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/cpu.yaml,MFANNS/simulator/memory/20260329/eight_config_k10_nq1000/logs/sift1m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260401/eight_config_k10_nq32_cpu_quick_energy/runs/formal_submit/03_sift1m_normalized_cpu/slurm-9658491.out,9590770b8c457fe9b978b049b0ed3829fc8c921bba4799b0c95e359a1426e13d,adf7e94b0609e41a09d852b82de57a86fed1ce7e5295b0afd4f38eeee97623d5,historical_cpu_energy_estimate,1000,15423372,0.9046,374445824,0,0,486176.69025,30.0,14585300.7075,1
k10,sift1m,SIFT1M,SF,ansmet,ansmet,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ansmet.yaml,memory/20260715/003_figure14_k10_formal_npq1000/logs/formal/sift1m_normalized_ansmet_ef0010_npq1000_stats.yml,memory/20260715/003_figure14_k10_formal_npq1000/runs/submission_20260715_193225/01_sift1m_normalized_ansmet_ef0010_npq1000/slurm-9985384.out,b62c00d67d33b2b9f4fb18a2c53b323dd37f4a0bed07541dd9b468375485ad5d,f44ac5ebded9cb1fba119f6efd303854829056b23ed6016f15284dde0fd5d0db,measured_reused,1000,992022,0.9021,418579200,0,0,3468440.75625,1.0,3468440.75625,32
k10,sift1m,SIFT1M,SF,ndp_base,ndp_base,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_base.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_sift1m_normalized_ndp_base_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_sift1m_normalized_ndp_base/slurm-10015789.out,036a62df0ee470b73d3c950e3706bb16438b19ef39d170f957fe7a1a5ff6139e,df2d208313df0ee7362f59a513d6997eabd6f89448f652e5a0862480eb8d4471,measured_reused,1000,1410522,0.9007,370606336,0,0,4890180.10875,1.0,4890180.10875,32
k10,sift1m,SIFT1M,SF,ndp_fpma,ndp_fpma,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_sift1m_normalized_ndp_fpma_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_sift1m_normalized_ndp_fpma/slurm-10015790.out,b6c15ddc0d2fc089ad8b4b2923600b82a2861c75954cce50166b28c0c57ef353,77531e91a90ac88f5571f1b477241598151e1b5c844f45c0fa8aa85a0d285e55,measured_reused,1000,1410522,0.9007,370606336,0,0,4890180.10875,1.0,4890180.10875,32
k10,sift1m,SIFT1M,SF,ndp_et,ndp_et,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_et.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_sift1m_normalized_ndp_et_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_sift1m_normalized_ndp_et/slurm-10015791.out,1a4a7e73aa7c64e0cee3c667c9dbabaee023997eb3f656a2f4e9843136f9f6e8,2c11c904c50b61d2127b0cbd7039abe41b0fc63afaa986647948d004487720ac,measured_reused,1000,1259397,0.8994,207372442,351564288,130152204,4231412.3625,1.0,4231412.3625,32
k10,sift1m,SIFT1M,SF,mfnns,mfnns,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_sift1m_mfnns_ef0010_q0015_npq1000_stats.yml,memory/20260722/001_figure14_final_recall_gt0895_completion/runs/submission_20260722_122703/formal/formal_k10_sift1m_mfnns_ef0010_q0015_npq1000/slurm-10031799.out,dff7765398f7378852393e7a0c308b6387b7a517c0ad187f99986928d17b969b,cb50d385b353658d2ab520474c3e368710137ef7b6879c04d211187d8011ad83,measured_completion,1000,927747,0.8994,200210372,351564288,122990134,3395194.91625,1.0,3395194.91625,32
k10,t2i1m,T2I1M,T2I,cpu,cpu,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/cpu.yaml,MFANNS/simulator/memory/20260329/eight_config_k10_nq1000/logs/t2i1m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260401/eight_config_k10_nq32_cpu_quick_energy/runs/formal_submit/04_t2i1m_normalized_cpu/slurm-9658493.out,1d882d0fb7d2783d20599daa998cc17fae8dd7ff950dc042f583a83e78cbfdd5,0d53981f3a3978a1ac28d5b237d4ac72547aa58eca203313b77f2f6527517103,historical_cpu_energy_estimate,1000,55980356,0.8794,1393872000,0,0,1862860.65975,30.0,55885819.7925,1
k10,t2i1m,T2I1M,T2I,ansmet,ansmet,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ansmet.yaml,memory/20260715/003_figure14_k10_formal_npq1000/logs/formal/t2i1m_normalized_ansmet_ef0035_npq1000_stats.yml,memory/20260715/003_figure14_k10_formal_npq1000/runs/submission_20260715_193225/07_t2i1m_normalized_ansmet_ef0035_npq1000/slurm-9985390.out,7ff89956f2683d11317beefc68536a8fe5601b4bf82a8d671b16fd76f15859fe,69a7bbba383af65cfa1b11d9d6fd41a36693b170fdda91e7950647169f1dc793,measured_reused,1000,5291097,0.9066,2341800080,0,0,19893039.42,1.0,19893039.42,32
