top_k,dataset_key,dataset_label,dataset_short,method,qps_source_design,trace_design,qps,recall,power_w,total_energy_nj,energy_efficiency_qps_per_w,energy_efficiency_norm_to_cpu,config_ref,trace_table_ref,data_status
k10,w2v1m,W2V1M,W2V,NMP-FPMA,ndp_fpma,ndp_fpma,305218.39520746074,0.9145,9.509656545751856,31156891.90125,32095.62761168358,3.29067000167904,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,w2v1m,W2V1M,W2V,NMP-FPSA,ndp_fpma,ndp_fpma,305218.39520746074,0.9145,9.41069589191301,30832662.90525,32433.137646042436,3.325273909686935,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,w2v1m,W2V1M,W2V,NMP-Base-ET,ndp_et,ndp_et,706761.2313194172,0.9067,10.822679876493474,15313063.870649999,65303.71769144542,6.695397497917443,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,w2v1m,W2V1M,W2V,NMP-FPSA-ET,ndp_et,ndp_et,706761.2313194172,0.9067,8.283054347260064,11719735.01121,85326.16130343337,8.748239565735252,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,w2v1m,W2V1M,W2V,MFNNS,mfnns,mfnns,801142.4291039022,0.9067,8.860760968028409,11060156.90361,90414.63052604644,9.26994530172854,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,wiki1m,Wiki1M,WK,CPU,cpu,cpu,16381.4757535013,0.9036,2.0352364796872053,124240117.9425,8048.9298993004295,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,wiki1m,Wiki1M,WK,CAGRA,gpu_cagra,,310459.215396003,0.9199999999999969,108.97190476190477,,2848.9840209211034,0.35395811077553574,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,wiki1m,Wiki1M,WK,BANG,bang,,20238.1,0.9339,51.290804020100396,,394.57560447032324,0.04902211963662619,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,wiki1m,Wiki1M,WK,ANSMET,ansmet,ansmet,278726.3182796733,0.9034,10.83005330909808,38855510.22215,25736.37546599348,3.197490323307493,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,wiki1m,Wiki1M,WK,NMP-Base,ndp_base,ndp_base,185177.72663786227,0.9045,10.017608455659426,54097264.4904,18485.223040759447,2.296606290777372,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
