dataset	design	figure_qps	figure_recall	match_status	ef_search	source_queue_or_lbq	source_config_semantics	source_yaml_ref	source_yaml_sha256	source_stats_ref	source_stats_sha256	source_result_qps	source_result_recall	note	config_path
t2i1m	ndp_base	109012.787	0.94001	matched_direct	93	100	ndp_base	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/t2i1m_normalized_ndp_base_ansmetef93_q100.yaml	aec30963acfe09e5400d74767138dc8d0bbade67bd2db80981ed4ce61d2e5039	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/t2i1m_normalized_ndp_base_ansmetef93_q100_stats.yml	ca5b5a990f7d6d2dbae97b208171a0be1f00cf3f3681a3e13950e3e9f6ed6172	109012.786564	0.94001000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ndp_base.yaml
t2i1m	ndp_fpma	109012.787	0.94001	figure_copied_from_ndp_base	93	100	derived_ndp_fpma	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/t2i1m_normalized_ndp_base_ansmetef93_q100.yaml	aec30963acfe09e5400d74767138dc8d0bbade67bd2db80981ed4ce61d2e5039	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/t2i1m_normalized_ndp_base_ansmetef93_q100_stats.yml	ca5b5a990f7d6d2dbae97b208171a0be1f00cf3f3681a3e13950e3e9f6ed6172	109012.786564	0.94001000	Figure value copied from NDP-Base; config derives the established FPMA timing delta and has no direct k100 result.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ndp_fpma.yaml
t2i1m	ndp_et	416054.287	0.89387	matched_direct	60	220	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/t2i1m_normalized_ndp_et_mfnns_near_target_ef60_q220.yaml	c3b6cfae36aa3d93065896ac7e22aad6eebd8897baca2712b108900be45fc91e	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/t2i1m_normalized_ndp_et_mfnns_near_target_ef60_q220_stats.yml	010a88e1f0d68aebcd101552b852601fecdd77f6e2a54c7b3be5e89ec31cfa5a	416054.286763	0.89387000	Legacy file is labelled NDP-ET but enables global_coarse_fine_split and rowSweep; preserved exactly to match Figure data.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ndp_et.yaml
t2i1m	mfnns	424069.627	0.89387	matched_direct	60	220	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/021_deep_t2i_edge_formal_nq1000/yamls/t2i1m_normalized_mfnns_edge_nq1000_ef60_q220.yaml	112c9e4b5b3512f072c171725dd86c40451d106682ee20aa734631c59894eb0c	MFANNS/simulator/memory/20260611/021_deep_t2i_edge_formal_nq1000/logs/t2i1m_normalized_mfnns_edge_nq1000_ef60_q220_stats.yml	83400f02342d0218376fef9326d6a869c7cf53ff53cf9a8af8b905e01f786c20	424069.626578	0.89387000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/mfnns.yaml
w2v1m	cpu	5442.383	0.90683	matched_direct	93	NA	cpu	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/yamls/w2v1m_normalized_cpu_ef93.yaml	906e84d7be91fee9d3e48a727d68315398102516278183dadc297d891ed331b7	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/logs/w2v1m_normalized_cpu_ef93_stats.yml	9bd697ea19f8bbd3584816262eb28e2c290d5fe2440a67542b7d8e396ef3133b	5442.382842	0.90683000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/cpu.yaml
w2v1m	ansmet	102333.537	0.90688	matched_direct	93	100	ansmet	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_round47_ansmet_fine_after_sample/w2v1m_normalized_ansmet_ef93_q100_pre32.yaml	0a6922a4072e3fc0faf7f99a654f5648c8b85d5000b67d9267c2e74e57aa83e5	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_round47_ansmet_fine_after_sample/w2v1m_normalized_ansmet_ef93_q100_pre32_stats.yml	0613032fe7a41d76467a1517be15c65204da094d6ad0e13a0239d9f440634da9	102333.537233	0.90688000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ansmet.yaml
w2v1m	ndp_base	65394.343	0.94524	matched_direct	93	100	ndp_base	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/w2v1m_normalized_ndp_base_ansmetef93_q100.yaml	22eb8cff93582fda2b31aabdd149679337f7211c1b31743355dafa30c93dfcce	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/w2v1m_normalized_ndp_base_ansmetef93_q100_stats.yml	36c4ce9dd518f898ae11153aa013edad48961f813a593908a514388b050a99ab	65394.343422	0.94524000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ndp_base.yaml
w2v1m	ndp_fpma	65394.343	0.94524	figure_copied_from_ndp_base	93	100	derived_ndp_fpma	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/w2v1m_normalized_ndp_base_ansmetef93_q100.yaml	22eb8cff93582fda2b31aabdd149679337f7211c1b31743355dafa30c93dfcce	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/w2v1m_normalized_ndp_base_ansmetef93_q100_stats.yml	36c4ce9dd518f898ae11153aa013edad48961f813a593908a514388b050a99ab	65394.343422	0.94524000	Figure value copied from NDP-Base; config derives the established FPMA timing delta and has no direct k100 result.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ndp_fpma.yaml
w2v1m	ndp_et	224742.838	0.89335	matched_direct	80	112	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/w2v1m_normalized_ndp_et_mfnns_near_target_ef80_q112.yaml	8f8fb42a32f061899940c3fe12119bcb1d91c957abec8db0bc7b67d53dbf5ff7	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/w2v1m_normalized_ndp_et_mfnns_near_target_ef80_q112_stats.yml	faa79b9375edfac99655e412a013760cafeb253d3148276b810b67b8e8e5da8a	224742.838008	0.89335000	Legacy file is labelled NDP-ET but enables global_coarse_fine_split and rowSweep; preserved exactly to match Figure data.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ndp_et.yaml
w2v1m	mfnns	229397.324	0.89335	matched_direct	80	112	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/011_top100_mfnns_best089_nq1000_qlimit1000/yamls/w2v1m_normalized_mfnns_top100_nq1000_qlim1000_ef80_q112.yaml	4922ad8b16e6b13f99929d6e7e36f052ff1ff7d5dbcdeae1931a6b984e76ac5b	MFANNS/simulator/memory/20260611/011_top100_mfnns_best089_nq1000_qlimit1000/logs/w2v1m_normalized_mfnns_top100_nq1000_qlim1000_ef80_q112_stats.yml	6a509ea874f55ed6be1f20acf8a58373d9f3f6a0c52d5779448804ae3750181e	229397.324482	0.89335000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/mfnns.yaml
