top_k,dataset_key,dataset_label,dataset_short,method,source_design,qps,recall,data_status,figure14_source,figure14_stats_ref,figure14_config_ref,figure14_note,area_mm2,area_efficiency_kqps_per_mm2,normalized_area_efficiency_vs_ansmet,derivation_note
k10,w2v1m,W2V1M,W2V,ANSMET,ansmet,446316.7431820933,0.9181,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/w2v1m/ansmet/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ansmet.yaml,,0.020913242,21341.346462786274,1.0,Measured Figure 14 QPS
k10,w2v1m,W2V1M,W2V,NMP-Base,ndp_base,305218.39520746074,0.9145,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/w2v1m/ndp_base/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_base.yaml,,0.020913242,14594.504056686226,0.6838605090890223,Measured Figure 14 QPS
k10,w2v1m,W2V1M,W2V,NMP-FPMA,ndp_fpma,305218.39520746074,0.9145,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/w2v1m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.01208361,25258.87505534031,1.1835652028509627,Use current Figure 14 NMP-FPMA QPS
k10,w2v1m,W2V1M,W2V,NMP-FPSA,ndp_fpma,305218.39520746074,0.9145,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/w2v1m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.009678554,31535.5367348739,1.4776732475555667,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,w2v1m,W2V1M,W2V,NMP-Base-ET,mfnns,801142.4291039022,0.9067,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_w2v1m_mfnns_ef0025_q0033_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/mfnns.yaml,,0.020913242,38307.902194404014,1.7950086823810754,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,w2v1m,W2V1M,W2V,MFNNS,mfnns,801142.4291039022,0.9067,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_w2v1m_mfnns_ef0025_q0033_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/mfnns.yaml,,0.009678554,82775.01257976162,3.8786218444135936,Measured Figure 14 QPS
k10,wiki1m,Wiki1M,WK,ANSMET,ansmet,278726.3182796733,0.9034,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_wiki1m_ansmet_ef0021_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ansmet.yaml,,0.020913242,13327.74317246811,1.0,Measured Figure 14 QPS
k10,wiki1m,Wiki1M,WK,NMP-Base,ndp_base,185177.72663786227,0.9045,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_wiki1m_ndp_base_ef0021_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_base.yaml,,0.020913242,8854.568155327725,0.664371157272832,Measured Figure 14 QPS
k10,wiki1m,Wiki1M,WK,NMP-FPMA,ndp_fpma,185177.72663786227,0.9045,derived_copy_from_ndp_base,latest_recall_gt0895:cancelled_fpma_fallback,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_wiki1m_ndp_base_ef0021_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_fpma.yaml,direct_ndp_fpma_cancelled;copied_from=latest_ndp_base,0.01208361,15324.702356155343,1.1498347588069124,Use current Figure 14 NMP-FPMA QPS
k10,wiki1m,Wiki1M,WK,NMP-FPSA,ndp_fpma,185177.72663786227,0.9045,derived_copy_from_ndp_base,latest_recall_gt0895:cancelled_fpma_fallback,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_wiki1m_ndp_base_ef0021_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_fpma.yaml,direct_ndp_fpma_cancelled;copied_from=latest_ndp_base,0.009678554,19132.7884969038,1.435561013542601,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,wiki1m,Wiki1M,WK,NMP-Base-ET,mfnns,335005.00832487445,0.9041,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_wiki1m_mfnns_ef0020_q0070_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/mfnns.yaml,,0.020913242,16018.798439996748,1.2019137998613079,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,wiki1m,Wiki1M,WK,MFNNS,mfnns,335005.00832487445,0.9041,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_wiki1m_mfnns_ef0020_q0070_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/mfnns.yaml,,0.009678554,34613.12591993333,2.597073298308724,Measured Figure 14 QPS
k10,pubmed,PubMed,PM,ANSMET,ansmet,10625.694131770482,0.9342,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_pubmed_ansmet_ef0320_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ansmet.yaml,,0.020913242,508.08450128251195,1.0,Measured Figure 14 QPS
k10,pubmed,PubMed,PM,NMP-Base,ndp_base,9092.962860566098,0.9022,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_pubmed_ndp_base_ef0320_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_base.yaml,,0.020913242,434.7945125182456,0.8557523628859628,Measured Figure 14 QPS
k10,pubmed,PubMed,PM,NMP-FPMA,ndp_fpma,9092.962860566098,0.9022,derived_copy_from_ndp_base,latest_recall_gt0895:cancelled_fpma_fallback,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_pubmed_ndp_base_ef0320_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_fpma.yaml,direct_ndp_fpma_cancelled;copied_from=latest_ndp_base,0.01208361,752.5038345797406,1.4810603997568572,Use current Figure 14 NMP-FPMA QPS
k10,pubmed,PubMed,PM,NMP-FPSA,ndp_fpma,9092.962860566098,0.9022,derived_copy_from_ndp_base,latest_recall_gt0895:cancelled_fpma_fallback,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_pubmed_ndp_base_ef0320_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_fpma.yaml,direct_ndp_fpma_cancelled;copied_from=latest_ndp_base,0.009678554,939.4960094830383,1.8490940131248899,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,pubmed,PubMed,PM,NMP-Base-ET,mfnns,23618.938657010614,0.904,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_pubmed_mfnns_ef0220_q0700_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/mfnns.yaml,,0.020913242,1129.3771982847334,2.222813715895581,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,pubmed,PubMed,PM,MFNNS,mfnns,23618.938657010614,0.904,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_pubmed_mfnns_ef0220_q0700_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/mfnns.yaml,,0.009678554,2440.337539782349,4.803015115836883,Measured Figure 14 QPS
