source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	5	137.8468017578125	110.95467376708984	0.9542972892517023	5.602206795332237	400135.2343399912	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	6	141.34756469726562	114.63348388671875	0.9816968755238906	5.391483337912776	246310.73371574513	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	7	142.93185424804688	118.72258758544922	0.9940967092108695	5.157258128912288	143634.28898940206	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	8	143.41738891601562	123.6204833984375	0.9978968662775534	4.876705040758528	75284.40818862476	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	9	143.46849060058594	128.6220703125	0.9982968262403542	4.590212492123944	38923.554404403905	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	0	69.16000366210938	101.3997802734375	0.4167030897205585	6.149514247139572	1410958.5225476378	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	1	86.60000610351562	101.39418029785156	0.5532015786914034	6.149835015588761	1412001.036736192	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	2	103.28618621826172	103.0047836303711	0.6838000909341889	6.057579125308113	1141771.3081300426	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	3	118.10700225830078	102.72880554199219	0.7997988702679073	6.073387241265205	1184096.8922133753	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ8	17	16	339	4	128.58380126953125	104.92481231689453	0.8817981268098056	5.94759924865996	886337.753940687	0
