source	dataset	paper_dataset	recall_tag	paper_metric	series	recall	qps	source_detail
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.8799981278371762	982986.4307272927	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.8899979628939827	844108.7962648731	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.8999977979507892	733238.5263129169	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.9239975453991447	569512.335170134	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.9299975419745754	446052.999533218	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.9649969646733978	241364.86661490533	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.9799969561119743	151657.6687582027	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO++ frontier	0.9899969105954642	125163.74914971564	pdf_page=17,drawing=305
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.5400017056521396	3596671.9367813934	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.6300007585834728	2397134.024478366	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.7099998570313162	1172765.5016426058	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.7499994361119088	1068518.6854361065	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.8099988047327976	775682.4865192722	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.829998594273094	678155.7915732801	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.8599982785835384	632536.3203710587	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.8899979628939827	568717.4569053294	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.909997752434279	535263.1253105125	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.9199977069177689	368607.69751436706	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.9399973770313819	313773.871019989	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.9649969646733978	241364.86661490533	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.9799969561119743	151657.6687582027	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	0.9899969105954642	125163.74914971564	pdf_page=17,drawing=266
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.38000344378833695	11923110.144012323	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.46000254749095437	9342460.510940854	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.6200008638133246	5565472.929464587	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.7499994361119088	3054555.84122149	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.839998489043242	1818446.144634672	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.8699981733536865	1319724.9897538198	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-L	0.8799981278371762	982986.4307272927	pdf_page=17,drawing=298
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	0.829998594273094	1115134.5130406094	pdf_page=17,drawing=287
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	0.8899979628939827	844108.7962648731	pdf_page=17,drawing=287
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	0.8999977979507892	733238.5263129169	pdf_page=17,drawing=287
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	0.9239975453991447	569512.335170134	pdf_page=17,drawing=287
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	0.9299975419745754	446052.999533218	pdf_page=17,drawing=287
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.16676	8750437.522	sift1m_r100_mfnns_lbqfill_ef001_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.16725	8695746.693	sift1m_r100_mfnns_lowef_ef001_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.3302	6048051.771	sift1m_r100_mfnns_lbqfill_ef002_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.33083	6029817.447	sift1m_r100_mfnns_lbqfill_ef002_q064
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.33293	5816109.168	sift1m_r100_mfnns_lowef_ef002_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.42973	4687298.593	sift1m_r100_mfnns_lowef_ef003_q003
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.43005	4673606.973	sift1m_r100_mfnns_lbqfill_ef003_q048
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.43128	4617631.271	sift1m_r100_mfnns_lbqfill_ef003_q096
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.43459	4364453.707	sift1m_r100_mfnns_lowef_ef003_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.50176	4017597.075	sift1m_r100_mfnns_lowef_ef004_q016
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.50213	4016588.511	sift1m_r100_mfnns_lowef_ef004_q002
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.50236	4006029.074	sift1m_r100_mfnns_lbqfill_ef004_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.50296	3989050.058	sift1m_r100_mfnns_lbqfill_ef004_q064
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.50478	3934123.109	sift1m_r100_mfnns_lbqfill_ef004_q128
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.50809	3735280.66	sift1m_r100_mfnns_lowef_ef004_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.55662	3580635.921	sift1m_r100_mfnns_lbqfill_ef005_q010
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.5568	3578633.767	sift1m_r100_mfnns_lbqfill_ef005_q040
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.5583	3558734.692	sift1m_r100_mfnns_lbqfill_ef005_q080
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.56056	3448662.35	sift1m_r100_mfnns_lbqfill_ef005_q160
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.564	3291178.818	sift1m_r100_mfnns_lowef_ef005_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.6034	3253699.049	sift1m_r100_mfnns_lbqfill_ef006_q012
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.60353	3251054.561	sift1m_r100_mfnns_lowef_ef006_q003
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.60455	3193944.282	sift1m_r100_mfnns_lbqfill_ef006_q096
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.60709	3057239.16	sift1m_r100_mfnns_lbqfill_ef006_q192
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.6105	2918919.708	sift1m_r100_mfnns_lowef_ef006_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.67591	2827364.649	sift1m_r100_mfnns_lbqfill_ef008_q064
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.67595	2788194.783	sift1m_r100_mfnns_lowef_ef008_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.67777	2694745.919	sift1m_r100_mfnns_lbqfill_ef008_q128
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.68174	2609909.828	sift1m_r100_mfnns_lbqfill_ef008_q256
mfnns_006_current_best_frontier	sift1m	SIFT1M	r100	R100@1000	MFNNS frontier	0.68437	2499031.625	sift1m_r100_mfnns_lowef_ef008_q001
