top_k,top_k_label,dataset_key,dataset_label,dataset_short,design,design_label,plot_included,qps,cpu_qps,qps_speedup_vs_cpu,recall,data_status,source,stats_ref,run_ref,note
k5,Recall@5,t2i1m,T2I1M,T2I,cpu,CPU,True,53124.29278285233,53124.29278285233,1.0,0.8614,measured,sim,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/logs/t2i1m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/runs/formal_submit/19_t2i1m_normalized_cpu/slurm-9615202.out,
k5,Recall@5,t2i1m,T2I1M,T2I,gpu_cagra,CAGRA,True,511619.689317384,53124.29278285233,9.630616475378785,0.909999999999998,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
k5,Recall@5,t2i1m,T2I1M,T2I,bang,BANG,True,66666.67,66666.67,1.0,0.9488,external_measurement,BANG:r16_baseline_002,,,uses supplied BANG speedup
k5,Recall@5,t2i1m,T2I1M,T2I,ansmet,ANSMET,True,619615.1570259712,53124.29278285233,11.663499400522335,0.8634,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/t2i1m_normalized_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/19_t2i1m_normalized_ansmet/slurm-9624184.out,
k5,Recall@5,t2i1m,T2I1M,T2I,ndp_base,NMP-Base,True,566683.0060266737,53124.29278285233,10.66711623518478,0.8628,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/t2i1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/20_t2i1m_normalized_ndp_base/slurm-9624185.out,
k5,Recall@5,t2i1m,T2I1M,T2I,ndp_fpma,NMP-FPMA/FPSA,True,566683.0060266737,53124.29278285233,10.66711623518478,0.8628,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/t2i1m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/20_t2i1m_normalized_ndp_base/slurm-9624185.out,copied_from=ndp_base
k5,Recall@5,t2i1m,T2I1M,T2I,ndp_et,NMP-FPSA-ET,True,930612.3778425846,53124.29278285233,17.517642665785687,0.872,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/t2i1m_normalized_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/22_t2i1m_normalized_ndp_et/slurm-9624187.out,
k5,Recall@5,t2i1m,T2I1M,T2I,mfnns,MFNNS,True,1031560.5964483368,53124.29278285233,19.417869724212274,0.872,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/t2i1m_normalized_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/24_t2i1m_normalized_mfnns/slurm-9624189.out,
k5,Recall@5,w2v1m,W2V1M,W2V,cpu,CPU,True,30913.275934335412,30913.275934335412,1.0,0.9172,measured,sim,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/logs/w2v1m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/runs/formal_submit/25_w2v1m_normalized_cpu/slurm-9615208.out,
k5,Recall@5,w2v1m,W2V1M,W2V,gpu_cagra,CAGRA,True,284376.9246769545,30913.275934335412,9.199184365999098,0.9051999999999975,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
