case_order	method	config_ref	ef_search	queue_size	warmup_size	recall	s_mem_cycle	final_status	slurm_job_id
21	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q40.yaml	20	40	39	0.86099999999999999	292872	PASS	9616454
22	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q41.yaml	20	41	40	0.86399999999999999	292722	PASS	9616455
23	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q42.yaml	20	42	41	0.86599999999999999	294972	PASS	9616456
24	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q43.yaml	20	43	42	0.86699999999999999	295722	PASS	9616457
25	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q44.yaml	20	44	43	0.86799999999999999	296772	PASS	9616458
26	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q45.yaml	20	45	44	0.86799999999999999	300447	PASS	9616459
27	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q46.yaml	20	46	45	0.871	302847	PASS	9616460
28	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q47.yaml	20	47	46	0.871	302097	PASS	9616461
29	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q48.yaml	20	48	47	0.871	307647	PASS	9616462
30	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q49.yaml	20	49	48	0.874	308322	PASS	9616463
31	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q50.yaml	20	50	49	0.874	305022	PASS	9616464
32	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q51.yaml	20	51	50	0.874	307497	PASS	9616465
33	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q52.yaml	20	52	51	0.874	310797	PASS	9616466
34	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q53.yaml	20	53	52	0.874	313722	PASS	9616467
35	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q54.yaml	20	54	53	0.874	316947	PASS	9616468
36	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q55.yaml	20	55	54	0.875	314547	PASS	9616469
37	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q56.yaml	20	56	55	0.876	316197	PASS	9616470
38	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q57.yaml	20	57	56	0.876	318222	PASS	9616471
39	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q58.yaml	20	58	57	0.876	321372	PASS	9616472
40	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q59.yaml	20	59	58	0.877	321447	PASS	9616473
41	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q60.yaml	20	60	59	0.877	320022	PASS	9616474
42	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q61.yaml	20	61	60	0.878	320922	PASS	9616475
43	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q62.yaml	20	62	61	0.878	324222	PASS	9616476
44	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q63.yaml	20	63	62	0.879	324072	PASS	9616477
45	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q64.yaml	20	64	63	0.88	323772	PASS	9616478
46	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q65.yaml	20	65	64	0.88	329772	PASS	9616479
47	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q66.yaml	20	66	65	0.88	329472	PASS	9616480
48	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q67.yaml	20	67	66	0.88	334422	PASS	9616481
49	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q68.yaml	20	68	67	0.88	335172	PASS	9616482
50	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q69.yaml	20	69	68	0.88	336597	PASS	9616483
51	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q70.yaml	20	70	69	0.88	338097	PASS	9616484
52	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q71.yaml	20	71	70	0.88200000000000001	336222	PASS	9616485
53	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q72.yaml	20	72	71	0.88200000000000001	340572	PASS	9616486
54	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q73.yaml	20	73	72	0.88200000000000001	339222	PASS	9616487
55	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q74.yaml	20	74	73	0.88300000000000001	340872	PASS	9616488
56	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q75.yaml	20	75	74	0.88300000000000001	343197	PASS	9616489
57	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q76.yaml	20	76	75	0.88300000000000001	345072	PASS	9616490
58	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q77.yaml	20	77	76	0.88300000000000001	346872	PASS	9616491
59	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q78.yaml	20	78	77	0.88400000000000001	348897	PASS	9616492
60	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q79.yaml	20	79	78	0.88400000000000001	347997	PASS	9616493
61	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q80.yaml	20	80	79	0.88400000000000001	346647	PASS	9616494
62	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q81.yaml	20	81	80	0.88400000000000001	350097	PASS	9616495
63	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q82.yaml	20	82	81	0.88400000000000001	351072	PASS	9616496
64	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q83.yaml	20	83	82	0.88400000000000001	353472	PASS	9616497
65	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q84.yaml	20	84	83	0.88400000000000001	354747	PASS	9616498
66	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q85.yaml	20	85	84	0.88400000000000001	357372	PASS	9616499
67	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q86.yaml	20	86	85	0.88400000000000001	357522	PASS	9616500
68	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q87.yaml	20	87	86	0.88400000000000001	356097	PASS	9616501
69	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q88.yaml	20	88	87	0.88400000000000001	356022	PASS	9616502
70	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q89.yaml	20	89	88	0.88400000000000001	357672	PASS	9616503
71	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q90.yaml	20	90	89	0.88400000000000001	361347	PASS	9616504
72	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q91.yaml	20	91	90	0.88400000000000001	362472	PASS	9616505
73	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q92.yaml	20	92	91	0.88400000000000001	366222	PASS	9616506
74	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q93.yaml	20	93	92	0.88400000000000001	364422	PASS	9616507
75	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q94.yaml	20	94	93	0.88400000000000001	367497	PASS	9616508
76	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q95.yaml	20	95	94	0.88400000000000001	367497	PASS	9616509
77	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q96.yaml	20	96	95	0.88400000000000001	365397	PASS	9616510
78	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q97.yaml	20	97	96	0.88400000000000001	368472	PASS	9616511
79	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q98.yaml	20	98	97	0.88400000000000001	368397	PASS	9616512
80	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q99.yaml	20	99	98	0.88400000000000001	370122	PASS	9616513
81	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q100.yaml	20	100	99	0.88400000000000001	371697	PASS	9616514
82	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q20.yaml	30	20	19	0.75	272922	PASS	9616515
83	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q21.yaml	30	21	20	0.76200000000000001	279072	PASS	9616516
84	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q22.yaml	30	22	21	0.76900000000000002	290322	PASS	9616517
85	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q23.yaml	30	23	22	0.78300000000000003	300522	PASS	9616518
86	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q24.yaml	30	24	23	0.77800000000000002	306522	PASS	9616519
87	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q25.yaml	30	25	24	0.77900000000000003	310797	PASS	9616520
88	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q26.yaml	30	26	25	0.78700000000000003	317772	PASS	9616521
89	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q27.yaml	30	27	26	0.80500000000000005	322122	PASS	9616522
90	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q28.yaml	30	28	27	0.80900000000000005	328272	PASS	9616523
91	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q29.yaml	30	29	28	0.81799999999999995	330897	PASS	9616524
92	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q30.yaml	30	30	29	0.82599999999999996	338322	PASS	9616525
93	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q31.yaml	30	31	30	0.82399999999999995	342297	PASS	9616526
94	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q32.yaml	30	32	31	0.82799999999999996	348072	PASS	9616527
95	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q33.yaml	30	33	32	0.83399999999999996	354597	PASS	9616528
96	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q34.yaml	30	34	33	0.84199999999999997	356922	PASS	9616529
97	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q35.yaml	30	35	34	0.84499999999999997	362397	PASS	9616530
98	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q36.yaml	30	36	35	0.84599999999999997	363522	PASS	9616531
99	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q37.yaml	30	37	36	0.84999999999999998	368922	PASS	9616532
100	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q38.yaml	30	38	37	0.85899999999999999	371697	PASS	9616533
101	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q39.yaml	30	39	38	0.86199999999999999	376272	PASS	9616534
102	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q40.yaml	30	40	39	0.86799999999999999	377472	PASS	9616535
103	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q41.yaml	30	41	40	0.86899999999999999	380697	PASS	9616536
104	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q42.yaml	30	42	41	0.86899999999999999	384072	PASS	9616537
105	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q43.yaml	30	43	42	0.875	389622	PASS	9616538
106	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q44.yaml	30	44	43	0.879	389097	PASS	9616539
107	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q45.yaml	30	45	44	0.88500000000000001	394272	PASS	9616540
108	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q46.yaml	30	46	45	0.88600000000000001	393897	PASS	9616541
109	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q47.yaml	30	47	46	0.88700000000000001	396747	PASS	9616542
110	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q48.yaml	30	48	47	0.88800000000000001	402372	PASS	9616543
111	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q49.yaml	30	49	48	0.88900000000000001	405222	PASS	9616544
112	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q50.yaml	30	50	49	0.89000000000000001	408597	PASS	9616545
113	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q51.yaml	30	51	50	0.89100000000000001	409047	PASS	9616546
114	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q52.yaml	30	52	51	0.89100000000000001	411822	PASS	9616547
115	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q53.yaml	30	53	52	0.89000000000000001	409947	PASS	9616548
116	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q54.yaml	30	54	53	0.89500000000000002	415947	PASS	9616549
117	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q55.yaml	30	55	54	0.89600000000000002	417672	PASS	9616550
118	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q56.yaml	30	56	55	0.89800000000000002	418797	PASS	9616551
119	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q57.yaml	30	57	56	0.89800000000000002	420147	PASS	9616552
120	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q58.yaml	30	58	57	0.89800000000000002	421647	PASS	9616553
121	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q59.yaml	30	59	58	0.90000000000000002	425622	PASS	9616554
122	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q60.yaml	30	60	59	0.90100000000000002	422622	PASS	9616555
123	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q61.yaml	30	61	60	0.90100000000000002	428097	PASS	9616556
124	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q62.yaml	30	62	61	0.90200000000000002	429372	PASS	9616557
125	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q63.yaml	30	63	62	0.90200000000000002	431997	PASS	9616558
126	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q64.yaml	30	64	63	0.90100000000000002	433797	PASS	9616559
127	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q65.yaml	30	65	64	0.90100000000000002	436722	PASS	9616560
128	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q66.yaml	30	66	65	0.90100000000000002	441072	PASS	9616561
129	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q67.yaml	30	67	66	0.90100000000000002	441372	PASS	9616562
130	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q68.yaml	30	68	67	0.90200000000000002	444222	PASS	9616563
131	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q69.yaml	30	69	68	0.90200000000000002	441147	PASS	9616564
132	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q70.yaml	30	70	69	0.90200000000000002	445647	PASS	9616565
133	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q71.yaml	30	71	70	0.90300000000000002	444822	PASS	9616566
134	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q72.yaml	30	72	71	0.90400000000000003	450372	PASS	9616567
135	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q73.yaml	30	73	72	0.90500000000000003	448497	PASS	9616568
136	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q74.yaml	30	74	73	0.90500000000000003	453372	PASS	9616569
137	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q75.yaml	30	75	74	0.90500000000000003	451047	PASS	9616570
138	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q76.yaml	30	76	75	0.90500000000000003	455022	PASS	9616571
139	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q77.yaml	30	77	76	0.90500000000000003	457872	PASS	9616572
140	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q78.yaml	30	78	77	0.90500000000000003	459672	PASS	9616573
141	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q79.yaml	30	79	78	0.90600000000000003	461172	PASS	9616574
142	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q80.yaml	30	80	79	0.90700000000000003	465297	PASS	9616575
143	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q81.yaml	30	81	80	0.90800000000000003	465147	PASS	9616576
144	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q82.yaml	30	82	81	0.90800000000000003	466572	PASS	9616577
145	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q83.yaml	30	83	82	0.90800000000000003	467022	PASS	9616578
146	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q84.yaml	30	84	83	0.90800000000000003	467397	PASS	9616579
147	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q85.yaml	30	85	84	0.90800000000000003	467622	PASS	9616580
148	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q86.yaml	30	86	85	0.91800000000000004	470922	PASS	9616581
149	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q87.yaml	30	87	86	0.91800000000000004	468897	PASS	9616582
150	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q88.yaml	30	88	87	0.91800000000000004	476997	PASS	9616583
151	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q89.yaml	30	89	88	0.91900000000000004	481647	PASS	9616584
152	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q90.yaml	30	90	89	0.92000000000000004	473922	PASS	9616585
153	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q91.yaml	30	91	90	0.92000000000000004	478272	PASS	9616586
154	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q92.yaml	30	92	91	0.92000000000000004	481947	PASS	9616587
155	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q93.yaml	30	93	92	0.92000000000000004	484272	PASS	9616588
156	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q94.yaml	30	94	93	0.92000000000000004	486672	PASS	9616589
157	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q95.yaml	30	95	94	0.92000000000000004	486597	PASS	9616590
158	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q96.yaml	30	96	95	0.92000000000000004	486297	PASS	9616591
159	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q97.yaml	30	97	96	0.92000000000000004	487197	PASS	9616593
160	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q98.yaml	30	98	97	0.92100000000000004	488097	PASS	9616594
161	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q99.yaml	30	99	98	0.92200000000000004	493947	PASS	9616595
162	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef30_q100.yaml	30	100	99	0.92200000000000004	492672	PASS	9616596
163	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q20.yaml	40	20	19	0.754	287322	PASS	9616597
164	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q21.yaml	40	21	20	0.75800000000000001	299322	PASS	9616598
165	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q22.yaml	40	22	21	0.75600000000000001	310647	PASS	9616599
166	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q23.yaml	40	23	22	0.76600000000000001	319497	PASS	9616600
167	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q24.yaml	40	24	23	0.77100000000000002	333747	PASS	9616601
168	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q25.yaml	40	25	24	0.78400000000000003	341022	PASS	9616602
169	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q26.yaml	40	26	25	0.77800000000000002	345747	PASS	9616603
170	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q27.yaml	40	27	26	0.78900000000000003	359922	PASS	9616604
171	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q28.yaml	40	28	27	0.80600000000000005	364497	PASS	9616605
172	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q29.yaml	40	29	28	0.81200000000000006	376572	PASS	9616606
173	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q30.yaml	40	30	29	0.82099999999999995	382722	PASS	9616607
174	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q31.yaml	40	31	30	0.82399999999999995	395847	PASS	9616608
175	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q32.yaml	40	32	31	0.83599999999999997	403947	PASS	9616609
176	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q33.yaml	40	33	32	0.84099999999999997	413847	PASS	9616610
177	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q34.yaml	40	34	33	0.84399999999999997	419547	PASS	9616611
178	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q35.yaml	40	35	34	0.84799999999999998	422247	PASS	9616612
179	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q36.yaml	40	36	35	0.83999999999999997	428472	PASS	9616613
180	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q37.yaml	40	37	36	0.84599999999999997	432897	PASS	9616614
181	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q38.yaml	40	38	37	0.85299999999999998	440022	PASS	9616615
182	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q39.yaml	40	39	38	0.85499999999999998	448272	PASS	9616616
183	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q40.yaml	40	40	39	0.86199999999999999	450447	PASS	9616617
184	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q41.yaml	40	41	40	0.85999999999999999	455997	PASS	9616618
185	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q42.yaml	40	42	41	0.85999999999999999	458922	PASS	9616619
186	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q43.yaml	40	43	42	0.86099999999999999	462822	PASS	9616620
187	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q44.yaml	40	44	43	0.86799999999999999	465809	PASS	9616621
188	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q45.yaml	40	45	44	0.87	475422	PASS	9616622
189	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q46.yaml	40	46	45	0.87	479397	PASS	9616623
190	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q47.yaml	40	47	46	0.877	484497	PASS	9616624
191	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q48.yaml	40	48	47	0.878	488247	PASS	9616625
192	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q49.yaml	40	49	48	0.879	496572	PASS	9616626
193	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q50.yaml	40	50	49	0.88300000000000001	500697	PASS	9616627
194	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q51.yaml	40	51	50	0.88600000000000001	505497	PASS	9616628
195	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef40_q52.yaml	40	52	51	0.88800000000000001	510372	PASS	9616629
