dataset	metric	k	ef	trial	recall	qps	threads	nq	query_ops	warmup_queries	avg_results_per_query	source_file
deep1b	R@100	100	300	1	0.8998	47568.235	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	300	2	0.8998	46001.645	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	300	3	0.8998	47092.084	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	700	1	0.9574	21021.805	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	700	2	0.9574	21079.183	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	700	3	0.9574	21231.893	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	1000	1	0.9701	14753.516	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100_extra_ef1000.tsv
deep1b	R@100	100	1000	2	0.9701	14723.655	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100_extra_ef1000.tsv
deep1b	R@100	100	1000	3	0.9701	14713.913	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100_extra_ef1000.tsv
t2i1b_norml2	R@10	10	30	1	0.476	156811.85	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	30	2	0.476	180445.815	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	30	3	0.476	183351.139	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	40	1	0.534	151880.536	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	40	2	0.534	151341.697	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	40	3	0.534	150738.26	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	60	1	0.617	111487.294	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	60	2	0.617	111120.837	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	60	3	0.617	111966.994	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	100	1	0.695	75269.415	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	100	2	0.695	68231.706	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	100	3	0.695	76544.691	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	150	1	0.762	55202.848	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	150	2	0.762	53486.858	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	150	3	0.762	54885.381	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	300	1	0.839	29478.738	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	300	2	0.839	29288.731	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	300	3	0.839	29325.982	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	1000	1	0.912	9458.636	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	1000	2	0.912	9429.605	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	1000	3	0.912	9556.858	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	3000	1	0.961	3226.967	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	3000	2	0.961	3257.28	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	3000	3	0.961	3242.085	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@100	100	60	1	0.5016	41204.253	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	60	2	0.5016	44196.999	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	60	3	0.5016	77196.559	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	100	1	0.6053	76222.434	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	100	2	0.6053	75630.413	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	100	3	0.6053	73915.648	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	150	1	0.6792	51243.233	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	150	2	0.6792	54226.84	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	150	3	0.6792	53666.994	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	300	1	0.7859	28949.773	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	300	2	0.7859	29656.887	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	300	3	0.7859	29314.682	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	500	1	0.8383	18137.031	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	500	2	0.8383	18104.568	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	500	3	0.8383	18082.588	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	1500	1	0.9245	6349.777	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	1500	2	0.9245	6279.223	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	1500	3	0.9245	6288.928	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	3000	1	0.955	3244.865	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	3000	2	0.955	3234.265	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	3000	3	0.955	3217.164	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	5000	1	0.9697	1996.045	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	5000	2	0.9697	1993.028	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	5000	3	0.9697	1591.392	96	100	50000	10000	100	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
